"","Id","Category","SubCategory","Description","TableCodeID","TableCode","Group","Entity",TableCode,RowCount
"34","58ab9df41137bb175c03a614","Business Operations ","Business Operations Tables","Module C Business Practices","7623","TABLECODE7623","Economy","Business",7623,27015
"35","58ab9df41137bb175c03a615","Business Operations ","Business Operations Tables","Module C Employment practices","7624","TABLECODE7624","Economy","Business",7624,5639
"36","58ab9df41137bb175c03a616","Business Operations ","Business Operations Tables","Module C International Engagement","7625","TABLECODE7625","Economy","Business",7625,17642
"37","58ab9df41137bb175c03a617","Business Operations ","Business Operations Tables","Module C Business Strategy and Skills","7626","TABLECODE7626","Economy","Business",7626,17237
"38","58ab9df41137bb175c03a618","Business Operations ","Business Operations Tables","Module C Price and wage setting","7627","TABLECODE7627","Economy","Business",7627,13767
"39","58ab9df41137bb175c03a619","Business Operations ","Business Operations Tables","Module D Financial conditions","7628","TABLECODE7628","Economy","Business",7628,9172
"40","58ab9df41137bb175c03a61a","Business Operations ","Business Operations Tables","Module C Regulation","7629","TABLECODE7629","Economy","Business",7629,15155
"41","58ab9df41137bb175c03a61b","Business Operations ","Business Operations Tables","Module C Skill needs and recruitment","7630","TABLECODE7630","Economy","Business",7630,6926
"42","58ab9df41137bb175c03a61c","Business Operations ","Business Operations Tables","Module C Skills Acquisition","7631","TABLECODE7631","Economy","Business",7631,12304
"43","58ab9df31137bb175c03a5fe","2013 Census","Population","Age by sex, for the census usually resident population count, 1996, 2001, 2006, and 2013 Censuses (RC, TA, AU)","8001","TABLECODE8001","People","Individual",8001,3666534
"44","58ab9df41137bb175c03a5ff","2013 Census","Population","Age by sex, for the census night population count, 1996, 2001, 2006, and 2013 Censuses (RC, TA, AU) ","8002","TABLECODE8002","People","Individual",8002,3641352
"45","58ab9df41137bb175c03a600","2013 Census","Population","Usual residence five years ago indicator (2008) by age group and sex, for the census usually resident population count, 2013 Census (RC, TA, AU)","8004","TABLECODE8004","People","Individual",8004,967632
"46","58ab9df21137bb175c03a5f9","2013 Census","Culture and Identity","Ethnic group (total responses) by age group and sex, for the census usually resident population count, 2001, 2006, and 2013 Censuses (RC, TA)","8021","TABLECODE8021","People","Individual",8021,1920600
"47","58ab9df31137bb175c03a5fa","2013 Census","Culture and Identity","Ethnic group (grouped total responses) by age group and sex, for the census usually resident population count, 2001, 2006, and 2013 (RC, TA, AU) ","8022","TABLECODE8022","People","Individual",8022,3991482
"48","58ab9df31137bb175c03a5fb","2013 Census","Culture and Identity","Birthplace (detailed overseas born) and years since arrival in New Zealand by sex, for the overseas born census usually resident population count, 2001, 2006, and 2013 Censuses (RC, TA)","8043","TABLECODE8043","People","Individual",8043,174240
"49","58ab9df31137bb175c03a5fd","2013 Census","Income","Total household income (grouped) by household composition, for households in occupied private dwellings, 2006 and 2013 Censuses (RC, TA, AU)","8135","TABLECODE8135","People","Household",8135,307328
"50","58ab9df31137bb175c03a5fc","2013 Census","Education and training","Highest qualification by age group and sex, for the census usually resident population count aged 15 years and over, 2013 Census (RC, TA, AU)","8241","TABLECODE8241","People","Individual",8241,1069488
